0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Variável (Código),Variável,Ano (Código),Ano
1,3,Unidade da Federação,45,Pessoas,1751950,11,Rondônia,9324,População residente estimada,2025,2025
2,3,Unidade da Federação,45,Pessoas,884372,12,Acre,9324,População residente estimada,2025,2025
3,3,Unidade da Federação,45,Pessoas,4321616,13,Amazonas,9324,População residente estimada,2025,2025
4,3,Unidade da Federação,45,Pessoas,738772,14,Roraima,9324,População residente estimada,2025,2025
5,3,Unidade da Federação,45,Pessoas,8711196,15,Pará,9324,População residente estimada,2025,2025
6,3,Unidade da Federação,45,Pessoas,806517,16,Amapá,9324,População residente estimada,2025,2025
7,3,Unidade da Federação,45,Pessoas,1586859,17,Tocantins,9324,População residente estimada,2025,2025
8,3,Unidade da Federação,45,Pessoas,7018211,21,Maranhão,9324,População residente estimada,2025,2025
9,3,Unidade da Federação,45,Pessoas,3384547,22,Piauí,9324,População residente estimada,2025,2025
10,3,Unidade da Federação,45,Pessoas,9268836,23,Ceará,9324,População residente estimada,2025,2025
11,3,Unidade da Federação,45,Pessoas,3455236,24,Rio Grande do Norte,9324,População residente estimada,2025,2025
12,3,Unidade da Federação,45,Pessoas,4164468,25,Paraíba,9324,População residente estimada,2025,2025
13,3,Unidade da Federação,45,Pessoas,9562007,26,Pernambuco,9324,População residente estimada,2025,2025
14,3,Unidade da Federação,45,Pessoas,3220848,27,Alagoas,9324,População residente estimada,2025,2025
15,3,Unidade da Federação,45,Pessoas,2299425,28,Sergipe,9324,População residente estimada,2025,2025
16,3,Unidade da Federação,45,Pessoas,14870907,29,Bahia,9324,População residente estimada,2025,2025
17,3,Unidade da Federação,45,Pessoas,21393441,31,Minas Gerais,9324,População residente estimada,2025,2025
18,3,Unidade da Federação,45,Pessoas,4126854,32,Espírito Santo,9324,População residente estimada,2025,2025
19,3,Unidade da Federação,45,Pessoas,17223547,33,Rio de Janeiro,9324,População residente estimada,2025,2025
20,3,Unidade da Federação,45,Pessoas,46081801,35,São Paulo,9324,População residente estimada,2025,2025
21,3,Unidade da Federação,45,Pessoas,11890517,41,Paraná,9324,População residente estimada,2025,2025
22,3,Unidade da Federação,45,Pessoas,8187029,42,Santa Catarina,9324,População residente estimada,2025,2025
23,3,Unidade da Federação,45,Pessoas,11233263,43,Rio Grande do Sul,9324,População residente estimada,2025,2025
24,3,Unidade da Federação,45,Pessoas,2924631,50,Mato Grosso do Sul,9324,População residente estimada,2025,2025
25,3,Unidade da Federação,45,Pessoas,3893659,51,Mato Grosso,9324,População residente estimada,2025,2025
26,3,Unidade da Federação,45,Pessoas,7423629,52,Goiás,9324,População residente estimada,2025,2025
27,3,Unidade da Federação,45,Pessoas,2996899,53,Distrito Federal,9324,População residente estimada,2025,2025